* Measurement data measured by REW V5.19
* Source: C:\Users\Admin\Desktop\a.csv
* Format: Comma/Tab/Space delimited data
* Dated: Nov 20, 2021 6:16:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Admin\Desktop\a.csv Format: Comma/Tab/Space delimited data 944 values loaded, 20 Hz to 20,000 Hz
* Measurement: a.csv
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.4 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
4902.929, 0.427, 0
4938.458, 0.490, 0
4974.244, 0.537, 0
5010.289, 0.590, 0
5046.596, 0.630, 0
5083.166, 0.663, 0
5120.000, 0.671, 0
5157.102, 0.670, 0
5194.472, 0.671, 0
5232.113, 0.640, 0
5270.027, 0.665, 0
5308.216, 0.681, 0
5346.682, 0.685, 0
5385.426, 0.715, 0
5424.451, 0.763, 0
5463.759, 0.827, 0
5503.352, 0.885, 0
5543.231, 0.932, 0
5583.399, 1.012, 0
5623.859, 1.118, 0
5664.612, 1.191, 0
5705.660, 1.231, 0
5747.006, 1.274, 0
5788.651, 1.280, 0
5830.598, 1.300, 0
5872.849, 1.280, 0
5915.406, 1.252, 0
5958.271, 1.258, 0
6001.447, 1.250, 0
6044.937, 1.251, 0
6088.740, 1.240, 0
6132.862, 1.251, 0
6177.303, 1.293, 0
6222.066, 1.350, 0
6267.154, 1.362, 0
6312.568, 1.376, 0
6358.312, 1.420, 0
6404.387, 1.473, 0
6450.796, 1.532, 0
6497.541, 1.597, 0
6544.625, 1.654, 0
6592.050, 1.739, 0
6639.818, 1.837, 0
6687.934, 1.947, 0
6736.397, 2.054, 0
6785.211, 2.145, 0
6834.380, 2.220, 0
6883.905, 2.330, 0
6933.789, 2.451, 0
6984.034, 2.552, 0
7034.643, 2.655, 0
7085.619, 2.733, 0
7136.964, 2.750, 0
7188.681, 2.738, 0
7240.773, 2.733, 0
7293.243, 2.741, 0
7346.093, 2.740, 0
7399.326, 2.740, 0
7452.944, 2.740, 0
7506.951, 2.744, 0
7561.350, 2.751, 0
7616.143, 2.741, 0
7671.332, 2.760, 0
7726.922, 2.748, 0
7782.915, 2.728, 0
7839.312, 2.751, 0
7896.120, 2.771, 0
7953.338, 2.769, 0
8010.971, 2.739, 0
8069.022, 2.731, 0
8127.493, 2.719, 0
8186.389, 2.720, 0
8245.711, 2.731, 0
8305.462, 2.759, 0
8365.647, 2.746, 0
8426.268, 2.724, 0
8487.328, 2.740, 0
8548.831, 2.720, 0
8610.779, 2.734, 0
8673.177, 2.740, 0
8736.026, 2.746, 0
8799.331, 2.770, 0
8863.095, 2.721, 0
8927.320, 2.741, 0
8992.011, 2.738, 0
9057.171, 2.764, 0
9122.803, 2.770, 0
9188.910, 2.739, 0
9255.497, 2.740, 0
9322.566, 2.739, 0
9390.121, 2.750, 0
9458.166, 2.710, 0
9526.704, 2.734, 0
9595.738, 2.731, 0
9665.273, 2.732, 0
9735.312, 2.740, 0
9805.857, 2.741, 0
9876.915, 2.748, 0
9948.487, 2.735, 0
10020.578, 2.722, 0
10093.191, 2.728, 0
10166.331, 2.771, 0
10240.000, 2.767, 0
10314.203, 2.759, 0
10388.944, 2.762, 0
10464.227, 2.722, 0
10540.055, 2.758, 0
10616.433, 2.731, 0
10693.363, 2.747, 0
10770.853, 2.733, 0
10848.902, 2.769, 0
10927.518, 2.713, 0
11006.703, 2.734, 0
11086.462, 2.730, 0
11166.799, 2.751, 0
11247.719, 2.710, 0
11329.224, 2.767, 0
11411.320, 2.738, 0
11494.012, 2.740, 0
11577.302, 2.740, 0
11661.195, 2.740, 0
11745.697, 2.739, 0
11830.812, 2.749, 0
11916.543, 2.757, 0
12002.895, 2.714, 0
12089.873, 2.741, 0
12177.480, 2.740, 0
12265.724, 2.740, 0
12354.606, 2.740, 0
12444.133, 2.740, 0
12534.309, 2.733, 0
12625.137, 2.764, 0
12716.624, 2.737, 0
12808.773, 2.750, 0
12901.592, 2.722, 0
12995.082, 2.733, 0
13089.250, 2.748, 0
13184.100, 2.741, 0
13279.637, 2.722, 0
13375.867, 2.759, 0
13472.794, 2.727, 0
13570.423, 2.713, 0
13668.760, 2.736, 0
13767.810, 2.717, 0
13867.577, 2.750, 0
13968.067, 2.744, 0
14069.285, 2.752, 0
14171.237, 2.754, 0
14273.928, 2.734, 0
14377.362, 2.750, 0
14481.547, 2.740, 0
14586.486, 2.735, 0
14692.186, 2.737, 0
14798.651, 2.732, 0
14905.889, 2.723, 0
15013.902, 2.757, 0
15122.700, 2.740, 0
15232.285, 2.723, 0
15342.664, 2.767, 0
15453.844, 2.712, 0
15565.829, 2.750, 0
15678.625, 2.733, 0
15792.239, 2.736, 0
15906.676, 2.760, 0
16021.942, 2.721, 0
16138.044, 2.736, 0
16254.986, 2.756, 0
16372.777, 2.723, 0
16491.422, 2.730, 0
16610.924, 2.730, 0
16731.295, 2.733, 0
16852.535, 2.754, 0
16974.656, 2.745, 0
17097.662, 2.720, 0
17221.559, 2.746, 0
17346.354, 2.748, 0
17472.053, 2.728, 0
17598.662, 2.739, 0
17726.189, 2.740, 0
17854.641, 2.741, 0
17984.021, 2.766, 0
18114.342, 2.768, 0
18245.605, 2.744, 0
18377.820, 2.743, 0
18510.994, 2.742, 0
18645.133, 2.742, 0
18780.242, 2.741, 0
18916.332, 2.741, 0
19053.408, 2.741, 0
19191.477, 2.741, 0
19330.547, 2.742, 0
19470.623, 2.742, 0
19611.715, 2.742, 0
19753.830, 2.743, 0
19896.975, 2.744, 0
